Jump	Scorpii Sector CG-X b1-0	6.20 Ly	Nyarlathotep	27 Aug 2022, 22:17
Jump	NLTT 43513	5.69 Ly	Nyarlathotep	27 Aug 2022, 22:16
Jump	LP 918-29	4.01 Ly	Nyarlathotep	27 Aug 2022, 22:15
Jump	Arvirisa	3.27 Ly	Nyarlathotep	27 Aug 2022, 22:13
Jump	Scorpii Sector AV-Y b1	4.49 Ly	Nyarlathotep	27 Aug 2022, 22:12
Jump	Scorpii Sector ZU-Y b2	5.50 Ly	Nyarlathotep	27 Aug 2022, 22:10
Jump	Scorpii Sector ZU-Y b1	10.41 Ly	Nyarlathotep	27 Aug 2022, 22:08
Jump	Djendelis	8.98 Ly	Nyarlathotep	27 Aug 2022, 22:07
Jump	Epsilon Scorpii	4.94 Ly	Nyarlathotep	27 Aug 2022, 22:06
Jump	Jord	4.32 Ly	Nyarlathotep	27 Aug 2022, 22:05
Jump	Ananke	7.66 Ly	Nyarlathotep	27 Aug 2022, 22:04
Jump	LP 920-69	10.04 Ly	Nyarlathotep	27 Aug 2022, 22:03
Jump	Nornari	2.92 Ly	Nyarlathotep	27 Aug 2022, 22:00
Jump	Isleta	7.94 Ly	Nyarlathotep	27 Aug 2022, 21:59
Jump	Mulachi	6.95 Ly	Nyarlathotep	27 Aug 2022, 21:58
Jump	LTT 6988	3.49 Ly	Nyarlathotep	27 Aug 2022, 21:56
Jump	41 G. Arae	10.76 Ly	Nyarlathotep	27 Aug 2022, 21:55
Jump	Luyten 205-128	6.37 Ly	Nyarlathotep	27 Aug 2022, 21:54
Jump	Delta Pavonis	7.39 Ly	Nyarlathotep	27 Aug 2022, 21:53
Jump	La Rochelle	4.21 Ly	Nyarlathotep	27 Aug 2022, 21:52
Jump	Lacaille 8760	6.25 Ly	Nyarlathotep	27 Aug 2022, 21:48
Jump	EZ Aquarii	8.76 Ly	Nyarlathotep	27 Aug 2022, 21:47
Docked	van Maanen's Star - O'Connor City	0 Ly	Nyarlathotep	27 Aug 2022, 17:58
